respondent_id,A1_respondent_type,A2_lives_in_dubai,A3_residency_status,A4_age_group,B1_purchase_frequency,B2_monthly_clothing_spend_aed,B3_where_buy,B4_frustrations,B5_price_importance,B5_brand_importance,B5_quality_importance,B5_sustainability_importance,B5_uniqueness_importance,B5_convenience_importance,C1_bought_secondhand,C2_thrift_familiarity,C3_value_for_money,C3_good_for_environment,C3_hygiene_worry,C3_quality_worry,C3_socially_accepted,C3_finds_unique,C4_barriers,D1_concept_interest,D2_visit_likelihood_3mo,D3_categories_buy,D4_choice_drivers,D5_wtp_jeans_aed,D5_wtp_dress_aed,D5_wtp_jacket_aed,D6_max_spend_visit_aed,D7_shop_mode_pref,D8_travel_distance,E1_sell_back,E2_discovery_channel,E3_loyalty_interest,E4_recommend_likelihood,F1_gender,F2_field_industry,F3_area_dubai,F4_disposable_income_band,A4_age_code,B1_freq_code,C1_secondhand_code,D8_distance_code,F4_income_code,B3_buy_fast_fashion_h_m_shein_type,B3_buy_malls_brand_stores,B3_buy_online_marketplaces,B3_buy_outlet_stores,B3_buy_second_hand_thrift,B3_buy_social_media_sellers,B4_frustr_hard_to_find_unique_pieces,B4_frustr_none_stated,B4_frustr_not_sustainable,B4_frustr_poor_fast_fashion_quality,B4_frustr_same_styles_everywhere,B4_frustr_sizing_issues,B4_frustr_too_expensive,C4_barrier_don_t_know_where_to_shop,C4_barrier_hygiene_concerns,C4_barrier_nothing_i_m_open_to_it,C4_barrier_quality_concerns,C4_barrier_sizing_fit,C4_barrier_social_stigma,D3_cat_accessories,D3_cat_athleisure_sportswear,D3_cat_bags,D3_cat_denim_jeans,D3_cat_dresses,D3_cat_formal_office_wear,D3_cat_modest_wear_abayas,D3_cat_outerwear_jackets,D3_cat_shoes,D3_cat_tops_t_shirts,D4_driver_convenient_location,D4_driver_curated_quality,D4_driver_guaranteed_cleanliness_sanitisation,D4_driver_low_prices,D4_driver_loyalty_rewards,D4_driver_online_ordering_delivery,D4_driver_sustainability_mission,D4_driver_trendy_curated_styles,E2_disc_flyers_events,E2_disc_google_maps,E2_disc_influencers,E2_disc_instagram,E2_disc_tiktok,E2_disc_university_campus,E2_disc_word_of_mouth,target_likely_customer,advocacy_score,n_categories_interested
R1666,Young working professional,Yes,Expat - long-term resident,28-34,About monthly,750.0,Social-media sellers,Too expensive; Not sustainable; Hard to find unique pieces,2,4,4,3,2,3,Once or twice,4.0,4,3,2,3,3,2,Quality concerns,4,4,Tops / T-shirts; Dresses; Formal / office wear; Shoes; Athleisure / sportswear; Modest wear / abayas,Curated quality; Loyalty rewards; Sustainability mission; Trendy / curated styles,105.0,175,230,350.0,Online only,Up to 15 min,Maybe,University / campus; Flyers / events,4.0,4,Female,Engineering,International City,"Over 8,000",3,3,1,2,5,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,4.0,6
R1163,University student,Yes,Expat - student visa,23-27,Every few months,190.0,"Fast fashion (H&M, Shein-type); Online marketplaces; Outlet stores",Too expensive; Same styles everywhere; Sizing issues; Hard to find unique pieces,4,2,3,2,3,3,Once or twice,3.0,2,1,3,2,3,2,Sizing / fit,3,3,Dresses; Outerwear / jackets; Accessories,Curated quality,90.0,85,115,220.0,Online only,Only my neighbourhood,No,Instagram; TikTok; Word of mouth; Google / Maps; Flyers / events,3.0,3,Male,IT / Computer Science,Deira / Bur Dubai,"2,501-5,000",2,2,1,1,3,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,3.0,3
R1232,Other,Yes,Expat - student visa,28-34,About monthly,640.0,Second-hand / thrift,Poor fast-fashion quality; Not sustainable; Hard to find unique pieces,2,4,4,3,3,3,"Yes, regularly",2.0,4,2,2,3,4,3,Nothing - I'm open to it,3,3,Tops / T-shirts; Outerwear / jackets; Bags; Accessories; Modest wear / abayas,Loyalty rewards,130.0,145,180,350.0,In-store only,Only my neighbourhood,"Yes, sell",Instagram; University / campus; Google / Maps,4.0,3,Female,IT / Computer Science,International City,"1,000-2,500",3,3,3,1,2,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,3.0,5
R1961,University student,Yes,Expat - student visa,18-22,About monthly,270.0,"Fast fashion (H&M, Shein-type); Online marketplaces; Second-hand / thrift; Social-media sellers",Too expensive; Poor fast-fashion quality; Not sustainable; Hard to find unique pieces,2,4,5,4,2,4,Once or twice,4.0,5,3,5,5,3,4,Nothing - I'm open to it,3,3,Formal / office wear; Shoes; Athleisure / sportswear; Modest wear / abayas,Guaranteed cleanliness / sanitisation; Online ordering + delivery,70.0,100,195,140.0,Both,Up to 15 min,"Yes, donate",Instagram; TikTok; Word of mouth; University / campus; Influencers; Flyers / events,3.0,3,Female,Unknown,Marina / JBR,"2,501-5,000",1,3,1,2,3,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,3.0,4
R1920,University student,Yes,Expat - student visa,23-27,About monthly,100.0,Online marketplaces; Second-hand / thrift; Outlet stores,Not sustainable,5,2,3,4,5,2,"Yes, occasionally",4.0,4,3,3,2,3,4,Nothing - I'm open to it,4,4,Tops / T-shirts; Dresses; Denim / jeans; Formal / office wear; Outerwear / jackets; Bags; Accessories; Athleisure / sportswear; Modest wear / abayas,Low prices; Guaranteed cleanliness / sanitisation; Loyalty rewards,60.0,75,75,160.0,Online only,Up to 15 min,"Yes, donate",TikTok; University / campus; Google / Maps; Influencers; Flyers / events,4.0,4,Female,IT / Computer Science,Deira / Bur Dubai,"Under 1,000",2,3,2,2,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,4.0,9
R1168,University student,Yes,Expat - student visa,18-22,Every few months,290.0,Second-hand / thrift; Outlet stores,Too expensive; Hard to find unique pieces,4,3,4,2,4,4,"Yes, occasionally",2.0,3,4,1,3,2,1,Social stigma,4,3,Dresses; Shoes; Bags,Low prices; Trendy / curated styles,90.0,70,90,110.0,Both,Up to 15 min,"Yes, sell",TikTok; Word of mouth; University / campus; Google / Maps; Influencers,4.0,3,Female,Business,JVC,"1,000-2,500",1,2,2,2,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,3.33,3
R1705,Recent graduate,Yes,Expat - student visa,28-34,About monthly,140.0,"Fast fashion (H&M, Shein-type); Online marketplaces; Second-hand / thrift; Outlet stores; Social-media sellers",Too expensive; Hard to find unique pieces,3,3,4,1,4,4,"Yes, regularly",5.0,4,3,2,2,3,4,Hygiene concerns; Sizing / fit,5,5,Tops / T-shirts; Dresses; Denim / jeans; Formal / office wear; Outerwear / jackets; Shoes; Modest wear / abayas,Curated quality; Convenient location; Loyalty rewards; Sustainability mission,60.0,110,110,210.0,Both,Across the city,No,TikTok; Word of mouth; University / campus; Google / Maps; Flyers / events,4.0,5,Female,IT / Computer Science,Downtown,"1,000-2,500",3,3,3,4,2,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,5.0,7
R1660,University student,Yes,Expat - long-term resident,18-22,About monthly,200.0,"Malls / brand stores; Fast fashion (H&M, Shein-type); Outlet stores; Social-media sellers",Same styles everywhere; Not sustainable,2,3,4,3,4,4,Once or twice,3.0,3,3,3,4,3,3,Nothing - I'm open to it,4,4,Tops / T-shirts; Dresses; Denim / jeans; Formal / office wear; Outerwear / jackets; Shoes; Bags; Accessories; Athleisure / sportswear,Low prices; Guaranteed cleanliness / sanitisation; Curated quality; Convenient location; Online ordering + delivery; Loyalty rewards; Trendy / curated styles,60.0,110,130,190.0,Online only,Up to 15 min,"Yes, sell",Instagram; TikTok,4.0,4,Female,IT / Computer Science,Silicon Oasis,"1,000-2,500",1,3,1,2,2,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,4.0,9
R1365,University student,Yes,Expat - student visa,18-22,About monthly,310.0,"Fast fashion (H&M, Shein-type); Outlet stores",Same styles everywhere; Not sustainable; Sizing issues; Hard to find unique pieces,2,4,4,3,3,4,Never,1.0,2,3,3,3,5,3,Nothing - I'm open to it,3,4,Tops / T-shirts; Dresses; Formal / office wear; Bags; Accessories; Athleisure / sportswear,Curated quality; Convenient location; Online ordering + delivery; Loyalty rewards,85.0,115,185,220.0,Online only,Up to 15 min,"Yes, donate",Instagram; TikTok; University / campus; Google / Maps,4.0,3,Female,Other,Marina / JBR,"1,000-2,500",1,3,0,2,2,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,3.33,6
R1153,Recent graduate,Yes,Expat - long-term resident,23-27,Every few months,90.0,"Fast fashion (H&M, Shein-type); Online marketplaces; Social-media sellers",Sizing issues; Hard to find unique pieces,4,2,4,3,3,2,"Yes, occasionally",2.0,2,5,3,3,2,2,Don't know where to shop,3,3,Tops / T-shirts; Dresses; Denim / jeans; Outerwear / jackets; Bags; Accessories; Modest wear / abayas,Low prices; Online ordering + delivery,75.0,105,90,80.0,Both,Up to 30 min,No,Instagram; TikTok; Word of mouth,3.0,2,Female,Business,JVC,"Under 1,000",2,2,2,3,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,2.67,7
R1918,University student,Yes,Short-term / visitor,28-34,About monthly,180.0,Malls / brand stores; Social-media sellers,Too expensive; Hard to find unique pieces,3,3,3,4,2,3,Never,2.0,2,2,4,4,3,2,Nothing - I'm open to it,1,2,Tops / T-shirts; Denim / jeans,Low prices; Guaranteed cleanliness / sanitisation; Convenient location; Online ordering + delivery; Loyalty rewards,75.0,190,230,170.0,In-store only,Only my neighbourhood,Maybe,Instagram; TikTok; Word of mouth; University / campus; Influencers; Flyers / events,1.0,2,Male,Health / Medicine,Other,"2,501-5,000",3,3,0,1,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1.67,2
R1686,University student,Yes,Expat - student visa,23-27,Rarely,70.0,"Fast fashion (H&M, Shein-type); Online marketplaces",Too expensive; Not sustainable; Sizing issues,4,2,3,1,4,4,Never,2.0,2,3,3,3,1,3,Hygiene concerns; Social stigma; Don't know where to shop,3,3,Tops / T-shirts; Outerwear / jackets; Modest wear / abayas,Low prices; Curated quality; Online ordering + delivery; Loyalty rewards; Sustainability mission,25.0,65,65,50.0,In-store only,Up to 15 min,Maybe,Instagram; Word of mouth; University / campus; Google / Maps,3.0,3,Female,Business,Downtown,"Under 1,000",2,1,0,2,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,3.0,3
R1861,Young working professional,Yes,Expat - long-term resident,35+,2-3 times a month,300.0,Malls / brand stores; Outlet stores,Poor fast-fashion quality; Not sustainable; Sizing issues; Hard to find unique pieces,3,3,3,3,2,3,Never,2.0,3,4,3,2,2,2,Hygiene concerns,4,4,Tops / T-shirts; Dresses; Denim / jeans; Formal / office wear; Outerwear / jackets; Shoes; Bags; Accessories,Guaranteed cleanliness / sanitisation; Convenient location; Trendy / curated styles,65.0,115,145,180.0,Both,Up to 15 min,No,Word of mouth; Google / Maps,3.0,4,Female,Business,Other,"1,000-2,500",4,4,0,2,2,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,4.0,8
R1991,Young working professional,Yes,Expat - long-term resident,35+,Every few months,590.0,"Fast fashion (H&M, Shein-type); Online marketplaces; Second-hand / thrift",Not sustainable; Hard to find unique pieces,3,3,4,4,3,3,Once or twice,3.0,3,5,4,3,2,3,Nothing - I'm open to it,2,3,Dresses; Outerwear / jackets; Athleisure / sportswear,Low prices; Online ordering + delivery; Sustainability mission,100.0,120,215,140.0,Online only,Only my neighbourhood,"Yes, donate",Word of mouth; University / campus; Google / Maps; Flyers / events,2.0,3,Female,Marketing,Other,"1,000-2,500",4,2,1,1,2,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,2.67,3
R1297,Young working professional,Yes,UAE national,23-27,Weekly,750.0,"Fast fashion (H&M, Shein-type); Second-hand / thrift; Social-media sellers",Too expensive; Same styles everywhere; Poor fast-fashion quality; Not sustainable,3,4,4,4,4,4,"Yes, occasionally",4.0,5,4,3,3,4,5,Hygiene concerns; Sizing / fit,4,3,Tops / T-shirts; Dresses; Denim / jeans; Formal / office wear; Outerwear / jackets; Bags; Athleisure / sportswear,Guaranteed cleanliness / sanitisation; Curated quality; Convenient location; Trendy / curated styles,115.0,165,190,260.0,Online only,Up to 30 min,"Yes, sell",Instagram; University / campus; Google / Maps,3.0,4,Female,Engineering,JVC,"5,001-8,000",2,5,2,3,4,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,3.67,7
R1094,University student,Yes,Expat - student visa,18-22,Every few months,240.0,"Fast fashion (H&M, Shein-type); Second-hand / thrift",Too expensive; Same styles everywhere; Sizing issues,4,3,3,2,4,4,"Yes, occasionally",3.0,3,2,3,2,4,4,Nothing - I'm open to it,3,3,Tops / T-shirts; Dresses; Formal / office wear; Shoes; Athleisure / sportswear,Low prices; Guaranteed cleanliness / sanitisation; Curated quality; Convenient location; Online ordering + delivery; Loyalty rewards; Trendy / curated styles,40.0,55,90,80.0,In-store only,Up to 15 min,Maybe,TikTok; University / campus; Influencers,2.0,3,Female,Other,Downtown,"Under 1,000",1,2,2,2,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,3.0,5
R1649,University student,Yes,Expat - long-term resident,18-22,Every few months,100.0,"Malls / brand stores; Fast fashion (H&M, Shein-type)",Poor fast-fashion quality,4,2,4,2,3,4,Once or twice,3.0,3,1,4,4,3,5,Hygiene concerns; Quality concerns; Don't know where to shop,3,3,Tops / T-shirts; Dresses; Denim / jeans; Formal / office wear; Outerwear / jackets,Curated quality; Convenient location; Online ordering + delivery; Sustainability mission; Trendy / curated styles,65.0,75,85,150.0,Online only,Up to 30 min,"Yes, sell",Word of mouth; University / campus; Google / Maps; Flyers / events,3.0,3,Male,Business,JVC,"Under 1,000",1,2,1,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,3.0,5
R1060,Young working professional,Yes,Expat - long-term resident,28-34,2-3 times a month,1940.0,Malls / brand stores; Online marketplaces,Poor fast-fashion quality; Not sustainable; Hard to find unique pieces,1,3,4,4,2,3,Never,1.0,3,4,2,3,1,2,Quality concerns; Don't know where to shop,2,2,Tops / T-shirts; Denim / jeans; Formal / office wear; Bags,Loyalty rewards; Sustainability mission,160.0,225,230,570.0,Both,Only my neighbourhood,Maybe,Word of mouth; Google / Maps; Influencers,3.0,2,Male,Business,Other,"Over 8,000",3,4,0,1,5,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,2.0,4
R1009,Recent graduate,Yes,Expat - student visa,28-34,2-3 times a month,800.0,"Malls / brand stores; Fast fashion (H&M, Shein-type); Online marketplaces",Too expensive; Same styles everywhere; Not sustainable,2,5,3,5,2,4,Once or twice,5.0,4,5,1,2,3,2,Sizing / fit,5,4,Tops / T-shirts; Dresses; Denim / jeans; Outerwear / jackets; Shoes; Bags; Accessories; Athleisure / sportswear,Low prices; Loyalty rewards; Sustainability mission,140.0,100,240,480.0,Both,Up to 30 min,"Yes, donate",Instagram; TikTok; University / campus; Google / Maps,4.0,4,Male,IT / Computer Science,Silicon Oasis,"Over 8,000",3,4,1,3,5,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,4.33,8
